subs,deg,divs,steps,pri,cond,iter,errBmax,errAmax,errEmax,errBa,errEa
2,3,3,512,16,2.8985e+01,13.000000,3.7666e-04,3.1734e-04,5.4849e-04,4.5483e-04,3.9697e-04
2,3,3,1024,16,3.6695e+01,14.000000,3.7666e-04,3.1734e-04,3.0196e-04,4.5179e-04,2.1844e-04
2,3,3,2048,16,4.3224e+01,14.000000,3.7666e-04,3.1734e-04,2.0215e-04,4.5101e-04,1.4266e-04
2,3,3,4096,16,4.8689e+01,15.921856,3.7666e-04,3.1734e-04,2.0752e-04,4.5080e-04,1.1588e-04
2,3,3,8192,16,5.2525e+01,15.929435,3.7666e-04,3.1734e-04,2.1510e-04,4.5074e-04,1.0827e-04
2,3,4,2,25,1.2108e+00,5.000000,2.4371e-02,3.8171e-02,1.5635e-01,3.4467e-02,1.5635e-01
2,3,4,4,25,1.5893e+00,6.000000,1.1647e-02,1.4333e-02,7.5716e-02,1.5008e-02,6.0771e-02
2,3,4,8,25,2.2155e+00,7.000000,5.3019e-03,6.3447e-03,3.3922e-02,6.7711e-03,2.7027e-02
2,3,4,16,25,3.4593e+00,9.000000,2.6330e-03,2.9988e-03,1.6893e-02,3.3061e-03,1.2808e-02
2,3,4,32,25,5.8730e+00,11.000000,1.3210e-03,1.4595e-03,8.4460e-03,1.6451e-03,6.2481e-03
2,3,4,64,25,1.0162e+01,12.000000,6.7399e-04,7.2043e-04,4.2200e-03,8.3554e-04,3.0890e-03
2,3,4,128,25,1.7214e+01,14.000000,3.5997e-04,3.5853e-04,2.1135e-03,4.4558e-04,1.5369e-03
2,3,4,256,25,2.7632e+01,15.000000,2.2020e-04,1.8002e-04,1.0589e-03,2.7241e-04,7.6754e-04
2,3,4,512,25,4.0173e+01,16.782779,1.7029e-04,1.3655e-04,5.3249e-04,2.0964e-04,3.8534e-04
2,3,4,1024,25,5.3188e+01,16.996090,1.6207e-04,1.3655e-04,2.7190e-04,1.9629e-04,1.9659e-04
2,3,4,2048,25,6.5302e+01,18.853933,1.6207e-04,1.3655e-04,1.4658e-04,1.9456e-04,1.0591e-04
2,3,4,4096,25,7.5635e+01,20.411722,1.6207e-04,1.3655e-04,9.3204e-05,1.9412e-04,6.6121e-05
2,3,4,8192,25,8.3780e+01,20.850690,1.6207e-04,1.3655e-04,7.4915e-05,1.9400e-04,5.1491e-05
2,3,6,2,49,1.2477e+00,5.000000,2.4372e-02,3.8233e-02,1.5634e-01,3.4467e-02,1.5634e-01
2,3,6,4,49,1.6956e+00,7.000000,1.1647e-02,1.4357e-02,7.5708e-02,1.5008e-02,6.0765e-02
2,3,6,8,49,2.4443e+00,8.000000,5.3008e-03,6.3552e-03,3.3917e-02,6.7694e-03,2.7024e-02
2,3,6,16,49,3.6690e+00,8.000000,2.6301e-03,3.0037e-03,1.6892e-02,3.3021e-03,1.2807e-02
2,3,6,32,49,6.3803e+00,12.000000,1.3145e-03,1.4617e-03,8.4449e-03,1.6366e-03,6.2473e-03
2,3,6,64,49,1.1495e+01,15.000000,6.6017e-04,7.2122e-04,4.2191e-03,8.1805e-04,3.0883e-03
2,3,6,128,49,2.0611e+01,17.000000,3.3289e-04,3.5830e-04,2.1124e-03,4.1157e-04,1.5361e-03
2,3,6,256,49,3.5761e+01,19.000000,1.7102e-04,1.7869e-04,1.0571e-03,2.1125e-04,7.6622e-04
2,3,6,512,49,5.7498e+01,21.941292,9.3853e-05,8.9454e-05,5.2908e-04,1.1596e-04,3.8285e-04
2,3,6,1024,49,8.4591e+01,24.000978,6.1082e-05,4.5195e-05,2.6517e-04,7.5435e-05,1.9171e-04
2,3,6,2048,49,1.1261e+02,26.181241,5.0538e-05,4.1850e-05,1.3402e-04,6.2003e-05,9.6669e-05
2,3,6,4096,49,1.3836e+02,28.072772,4.9675e-05,4.1850e-05,7.0020e-05,5.9921e-05,5.0060e-05
2,3,6,8192,49,1.6035e+02,29.985106,4.9675e-05,4.1850e-05,4.2336e-05,5.9570e-05,2.8041e-05
2,3,8,2,81,1.2734e+00,5.000000,2.4372e-02,3.8257e-02,1.5633e-01,3.4468e-02,1.5633e-01
2,3,8,4,81,1.7703e+00,7.000000,1.1647e-02,1.4366e-02,7.5704e-02,1.5008e-02,6.0763e-02
2,3,8,8,81,2.6259e+00,9.000000,5.3007e-03,6.3591e-03,3.3915e-02,6.7693e-03,2.7023e-02
2,3,8,16,81,3.9903e+00,8.000000,2.6298e-03,3.0055e-03,1.6891e-02,3.3018e-03,1.2806e-02
2,3,8,32,81,6.6229e+00,12.000000,1.3139e-03,1.4626e-03,8.4445e-03,1.6359e-03,6.2470e-03
2,3,8,64,81,1.2140e+01,17.000000,6.5899e-04,7.2163e-04,4.2190e-03,8.1655e-04,3.0882e-03
2,3,8,128,81,2.2331e+01,19.000000,3.3053e-04,3.5846e-04,2.1123e-03,4.0859e-04,1.5360e-03
2,3,8,256,81,4.0526e+01,21.000000,1.6630e-04,1.7867e-04,1.0569e-03,2.0533e-04,7.6608e-04
2,3,8,512,81,6.9608e+01,26.909980,8.4817e-05,8.9233e-05,5.2879e-04,1.0468e-04,3.8262e-04
2,3,8,1024,81,1.1031e+02,29.974585,4.5529e-05,4.4673e-05,2.6459e-04,5.6215e-05,1.9129e-04
2,3,8,2048,81,1.5832e+02,33.979971,2.8249e-05,2.2513e-05,1.3273e-04,3.4880e-05,9.5796e-05
2,3,8,4096,81,2.0710e+02,36.420513,2.2195e-05,1.7924e-05,6.9059e-05,2.7281e-05,4.8725e-05
2,3,8,8192,81,2.5114e+02,39.409230,2.1278e-05,1.7924e-05,3.5864e-05,2.5738e-05,2.5169e-05
